Date : 2022-11-07 06:08:44
Directory : c:\Users\Administrador\Desktop\WowGoldLog
Total : 852 files,  315158 codes, 5727 comments, 13627 blanks, all 334512 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\assets\vendor\php-email-form                                                                                                          |          1 |         66 |          5 |         11 |         82 |
| src\assets\vendor\quill                                                                                                                   |          6 |     18,303 |      1,256 |      2,902 |     22,461 |
| src\assets\vendor\remixicon                                                                                                               |          4 |     22,779 |         40 |         11 |     22,830 |
| src\assets\vendor\simple-datatables                                                                                                       |          2 |        151 |          2 |         34 |        187 |
| src\assets\vendor\tinymce                                                                                                                 |        152 |    107,461 |      2,177 |      2,648 |    112,286 |
| src\assets\vendor\tinymce\icons                                                                                                           |          3 |        186 |          6 |          0 |        192 |
| src\assets\vendor\tinymce\icons\default                                                                                                   |          3 |        186 |          6 |          0 |        192 |
| src\assets\vendor\tinymce\models                                                                                                          |          3 |      7,766 |         12 |        213 |      7,991 |
| src\assets\vendor\tinymce\models\dom                                                                                                      |          3 |      7,766 |         12 |        213 |      7,991 |
| src\assets\vendor\tinymce\plugins                                                                                                         |         91 |     20,396 |        653 |        779 |     21,828 |
| src\assets\vendor\tinymce\plugins\advlist                                                                                                 |          3 |        239 |         12 |         14 |        265 |
| src\assets\vendor\tinymce\plugins\anchor                                                                                                  |          3 |        180 |         12 |         16 |        208 |
| src\assets\vendor\tinymce\plugins\autolink                                                                                                |          3 |        212 |         12 |         16 |        240 |
| src\assets\vendor\tinymce\plugins\autoresize                                                                                              |          3 |        145 |         12 |         12 |        169 |
| src\assets\vendor\tinymce\plugins\autosave                                                                                                |          3 |        215 |         12 |         18 |        245 |
| src\assets\vendor\tinymce\plugins\charmap                                                                                                 |          3 |      1,622 |         12 |         24 |      1,658 |
| src\assets\vendor\tinymce\plugins\code                                                                                                    |          3 |         75 |         12 |         10 |         97 |
| src\assets\vendor\tinymce\plugins\codesample                                                                                              |          3 |      2,425 |         12 |         24 |      2,461 |
| src\assets\vendor\tinymce\plugins\directionality                                                                                          |          3 |        355 |         12 |         29 |        396 |
| src\assets\vendor\tinymce\plugins\emoticons                                                                                               |          7 |        561 |         15 |         26 |        602 |
| src\assets\vendor\tinymce\plugins\emoticons\js                                                                                            |          4 |          4 |          3 |          0 |          7 |
| src\assets\vendor\tinymce\plugins\fullscreen                                                                                              |          3 |      1,142 |         12 |         54 |      1,208 |
| src\assets\vendor\tinymce\plugins\help                                                                                                    |          3 |        871 |         12 |         50 |        933 |
| src\assets\vendor\tinymce\plugins\image                                                                                                   |          3 |      1,455 |         12 |         33 |      1,500 |
| src\assets\vendor\tinymce\plugins\importcss                                                                                               |          3 |        328 |         12 |         16 |        356 |
| src\assets\vendor\tinymce\plugins\insertdatetime                                                                                          |          3 |        163 |         12 |         12 |        187 |
| src\assets\vendor\tinymce\plugins\link                                                                                                    |          3 |      1,170 |         12 |         34 |      1,216 |
| src\assets\vendor\tinymce\plugins\lists                                                                                                   |          3 |      1,798 |         12 |         68 |      1,878 |
| src\assets\vendor\tinymce\plugins\media                                                                                                   |          3 |      1,137 |         12 |         35 |      1,184 |
| src\assets\vendor\tinymce\plugins\nonbreaking                                                                                             |          3 |         98 |         12 |         13 |        123 |
| src\assets\vendor\tinymce\plugins\pagebreak                                                                                               |          3 |         93 |         12 |         12 |        117 |
| src\assets\vendor\tinymce\plugins\preview                                                                                                 |          3 |         84 |         12 |         13 |        109 |
| src\assets\vendor\tinymce\plugins\quickbars                                                                                               |          3 |        110 |        314 |         10 |        434 |
| src\assets\vendor\tinymce\plugins\save                                                                                                    |          3 |        105 |         12 |         13 |        130 |
| src\assets\vendor\tinymce\plugins\searchreplace                                                                                           |          3 |      1,040 |         12 |         39 |      1,091 |
| src\assets\vendor\tinymce\plugins\table                                                                                                   |          3 |      3,303 |         12 |         95 |      3,410 |
| src\assets\vendor\tinymce\plugins\template                                                                                                |          3 |        529 |         12 |         22 |        563 |
| src\assets\vendor\tinymce\plugins\visualblocks                                                                                            |          3 |         85 |         12 |         13 |        110 |
| src\assets\vendor\tinymce\plugins\visualchars                                                                                             |          3 |        477 |         12 |         32 |        521 |
| src\assets\vendor\tinymce\plugins\wordcount                                                                                               |          3 |        379 |         12 |         26 |        417 |
| src\assets\vendor\tinymce\skins                                                                                                           |         44 |     19,087 |        194 |         44 |     19,325 |
| src\assets\vendor\tinymce\skins\content                                                                                                   |         12 |        346 |         42 |         12 |        400 |
| src\assets\vendor\tinymce\skins\content\dark                                                                                              |          2 |         60 |          7 |          2 |         69 |
| src\assets\vendor\tinymce\skins\content\default                                                                                           |          2 |         55 |          7 |          2 |         64 |
| src\assets\vendor\tinymce\skins\content\document                                                                                          |          2 |         60 |          7 |          2 |         69 |
| src\assets\vendor\tinymce\skins\content\tinymce-5                                                                                         |          2 |         55 |          7 |          2 |         64 |
| src\assets\vendor\tinymce\skins\content\tinymce-5-dark                                                                                    |          2 |         60 |          7 |          2 |         69 |
| src\assets\vendor\tinymce\skins\content\writer                                                                                            |          2 |         56 |          7 |          2 |         65 |
| src\assets\vendor\tinymce\skins\ui                                                                                                        |         32 |     18,741 |        152 |         32 |     18,925 |
| src\assets\vendor\tinymce\skins\ui\oxide                                                                                                  |          8 |      4,649 |         38 |          8 |      4,695 |
| src\assets\vendor\tinymce\skins\ui\oxide-dark                                                                                             |          8 |      4,633 |         38 |          8 |      4,679 |
| src\assets\vendor\tinymce\skins\ui\tinymce-5                                                                                              |          8 |      4,739 |         38 |          8 |      4,785 |
| src\assets\vendor\tinymce\skins\ui\tinymce-5-dark                                                                                         |          8 |      4,720 |         38 |          8 |      4,766 |
| src\assets\vendor\tinymce\themes                                                                                                          |          3 |     24,678 |      1,305 |        708 |     26,691 |
| src\assets\vendor\tinymce\themes\silver                                                                                                   |          3 |     24,678 |      1,305 |        708 |     26,691 |
| src\environments                                                                                                                          |          2 |         22 |         11 |          4 |         37 |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                  | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Administrador\Desktop\WowGoldLog\README.md                                                                                       | Markdown           |         14 |          0 |         14 |         28 |
| c:\Users\Administrador\Desktop\WowGoldLog\angular.json                                                                                    | JSON               |        111 |          0 |          1 |        112 |
| c:\Users\Administrador\Desktop\WowGoldLog\karma.conf.js                                                                                   | JavaScript         |         37 |          6 |          2 |         45 |
| c:\Users\Administrador\Desktop\WowGoldLog\package-lock.json                                                                               | JSON               |     23,518 |          0 |          1 |     23,519 |
| c:\Users\Administrador\Desktop\WowGoldLog\package.json                                                                                    | JSON               |         45 |          0 |          1 |         46 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\app-routing.module.ts                                                                   | TypeScript         |         21 |          0 |          3 |         24 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\app.component.css                                                                       | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\app.component.html                                                                      | HTML               |          9 |          0 |          1 |         10 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\app.component.spec.ts                                                                   | TypeScript         |         31 |          0 |          5 |         36 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\app.component.ts                                                                        | TypeScript         |         39 |          0 |          9 |         48 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\app.module.ts                                                                           | TypeScript         |         82 |          0 |          5 |         87 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\ajustes\ajustes.component.css                                                | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\ajustes\ajustes.component.html                                               | HTML               |         46 |          1 |          4 |         51 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\ajustes\ajustes.component.spec.ts                                            | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\ajustes\ajustes.component.ts                                                 | TypeScript         |         67 |          6 |         15 |         88 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\autenticacion\login\login.component.css                                      | CSS                |          0 |         18 |          1 |         19 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\autenticacion\login\login.component.html                                     | HTML               |         52 |          0 |         10 |         62 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\autenticacion\login\login.component.spec.ts                                  | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\autenticacion\login\login.component.ts                                       | TypeScript         |         47 |          0 |          7 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\autenticacion\register\register.component.css                                | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\autenticacion\register\register.component.html                               | HTML               |         67 |          6 |         13 |         86 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\autenticacion\register\register.component.spec.ts                            | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\autenticacion\register\register.component.ts                                 | TypeScript         |         58 |          0 |         10 |         68 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\header\header.component.css                                                  | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\header\header.component.html                                                 | HTML               |         52 |          1 |         14 |         67 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\header\header.component.spec.ts                                              | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\header\header.component.ts                                                   | TypeScript         |         26 |          0 |          7 |         33 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\agregar-movimiento-form\agregar-movimiento-form.component.css           | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\agregar-movimiento-form\agregar-movimiento-form.component.html          | HTML               |        107 |          0 |          5 |        112 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\agregar-movimiento-form\agregar-movimiento-form.component.spec.ts       | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\agregar-movimiento-form\agregar-movimiento-form.component.ts            | TypeScript         |        145 |          1 |         22 |        168 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\gold-table\gold-table.component.css                                     | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\gold-table\gold-table.component.html                                    | HTML               |         67 |          6 |          7 |         80 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\gold-table\gold-table.component.spec.ts                                 | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\gold-table\gold-table.component.ts                                      | TypeScript         |         73 |          0 |         12 |         85 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\home.component.css                                                      | CSS                |          7 |          0 |          2 |          9 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\home.component.html                                                     | HTML               |         75 |         10 |         22 |        107 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\home.component.spec.ts                                                  | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\home.component.ts                                                       | TypeScript         |         27 |          2 |          4 |         33 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\mats-prices\mats-prices.component.css                                   | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\mats-prices\mats-prices.component.html                                  | HTML               |         64 |          0 |          7 |         71 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\mats-prices\mats-prices.component.spec.ts                               | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\mats-prices\mats-prices.component.ts                                    | TypeScript         |         11 |          0 |          5 |         16 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\modal-pendiente\modal-pendiente.component.css                           | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\modal-pendiente\modal-pendiente.component.html                          | HTML               |         21 |          0 |          1 |         22 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\modal-pendiente\modal-pendiente.component.spec.ts                       | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\modal-pendiente\modal-pendiente.component.ts                            | TypeScript         |         40 |          0 |          9 |         49 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\token-chart\token-chart.component.css                                   | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\token-chart\token-chart.component.html                                  | HTML               |         26 |          2 |          6 |         34 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\token-chart\token-chart.component.spec.ts                               | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\token-chart\token-chart.component.ts                                    | TypeScript         |         71 |          0 |          7 |         78 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\sidebar\sidebar.component.css                                                | CSS                |          4 |          0 |          1 |          5 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\sidebar\sidebar.component.html                                               | HTML               |         42 |          0 |          1 |         43 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\sidebar\sidebar.component.spec.ts                                            | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\sidebar\sidebar.component.ts                                                 | TypeScript         |         12 |          0 |          5 |         17 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\dist\app.module.js                                                                      | JavaScript         |         97 |          0 |          1 |         98 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\guard\auth.guard.ts                                                                     | TypeScript         |         21 |          7 |          5 |         33 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\guard\login.guard.ts                                                                    | TypeScript         |         18 |          0 |          3 |         21 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\models\goldtable.model.ts                                                               | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\models\movimiento.model.ts                                                              | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\models\reino.model.ts                                                                   | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\models\statInventario.model.ts                                                          | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\models\user.model.ts                                                                    | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\services\goldtable.service.ts                                                           | TypeScript         |         84 |          7 |         10 |        101 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\services\login.service.ts                                                               | TypeScript         |        133 |          6 |         13 |        152 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\services\reinos.service.ts                                                              | TypeScript         |         59 |          1 |          6 |         66 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\app\services\sidebar.service.ts                                                             | TypeScript         |         21 |          0 |          7 |         28 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\css\style.css                                                                        | CSS                |        965 |         67 |        201 |      1,233 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\img\not-found.svg                                                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\js\main.js                                                                           | JavaScript         |        247 |         51 |         22 |        320 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\apexcharts\apexcharts.min.js                                                  | JavaScript         |          3 |         11 |          1 |         15 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\apexcharts\locales\ar.json                                                    | JSON               |         63 |          0 |          1 |         64 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\apexcharts\locales\ca.json                                                    | JSON               |         55 |          0 |          1 |         56 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\apexcharts\locales\cs.json                                                    | JSON               |         55 |          0 |          1 |         56 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\apexcharts\locales\de.json                                                    | JSON               |         55 |          0 |          1 |         56 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\apexcharts\locales\el.json                                                    | JSON               |         55 |          0 |          1 |         56 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\apexcharts\locales\en.json                                                    | JSON               |         55 |          0 |          1 |         56 |
